sample_id,similarity_threshold,fight_threshold,hawk_dove_C,police_density,n_steps,mean_fighting,std_fighting,peak_fighting,min_fighting,fighting_range,cv_fighting,max_step_jump,mean_abs_step_jump,early_mean_fighting,late_mean_fighting,absolute_drift,relative_drift,fraction_zero_fighting,mean_fighting_fraction,mean_happy_fraction,mean_entropy,mean_arrests,instability_score,unstable_flag
102,0.18377609900198877,0.21814389005303392,12.709319805447011,0.11128634456545113,100,90.38,11.080415154677192,117.0,59.0,58.0,0.122598087571113,47.0,13.070707070707071,91.58,89.18,2.3999999999999915,0.026554547466253502,0.0,0.09414583333333335,0.9920104166666666,0.5540772537231446,1.27,0.03699821712650895,False
103,0.22151264515705404,0.21814389005303392,12.709319805447011,0.11128634456545113,100,90.38,11.080415154677192,117.0,59.0,58.0,0.122598087571113,47.0,13.070707070707071,91.58,89.18,2.3999999999999915,0.026554547466253502,0.0,0.09414583333333335,0.9920104166666666,0.5540772537231446,1.27,0.03699821712650895,False
104,0.18377609900198877,0.17998018413782124,12.709319805447011,0.11128634456545113,100,95.39,15.779667296872896,130.0,62.0,68.0,0.16542265747848722,53.0,19.767676767676768,98.08,92.7,5.3799999999999955,0.05640004193311663,0.0,0.09936458333333333,0.9903020833333334,0.5195099262237549,2.02,0.5525115875735724,False
105,0.18377609900198877,0.21814389005303392,10.092384967952965,0.11128634456545113,100,103.18,14.409982650926406,142.0,66.0,76.0,0.13965868047030824,55.0,16.77777777777778,102.46,103.9,1.440000000000012,0.013956193060670787,0.0,0.10747916666666668,0.99259375,0.5221221473693848,1.44,0.2581896532930953,False
106,0.18377609900198877,0.21814389005303392,12.709319805447011,0.08746369719505309,100,105.91,14.917838315251979,144.0,60.0,84.0,0.14085391667691416,68.0,21.474747474747474,105.44,106.38,0.9399999999999977,0.00887546029647812,0.0,0.11032291666666667,0.9921666666666669,0.5011745716094971,1.45,0.6271954883580011,False
107,0.22151264515705404,0.17998018413782124,10.092384967952965,0.08746369719505309,100,129.34,14.971452835312943,173.0,85.0,88.0,0.11575268930967174,81.0,18.8989898989899,130.34,128.34,2.0,0.015463120457708365,0.0,0.13472916666666668,0.9904062499999999,0.49145656776428226,3.01,0.6319957958411678,False
108,0.2644192105159163,0.030848278850317046,0.3229248519986868,0.033345005977898835,100,165.86,21.927161238974822,217.0,97.0,120.0,0.13220282912682274,49.0,15.88888888888889,175.46,156.26,19.200000000000017,0.1157602797540095,0.0,0.17277083333333337,0.919625,0.2607414761495108,20.24,0.5293578241001176,False
109,0.41923487950116395,0.030848278850317046,0.3229248519986868,0.033345005977898835,100,316.57,20.019617878471106,378.0,264.0,114.0,0.06323915051480275,57.0,16.98989898989899,323.7,309.44,14.259999999999991,0.045045329626938725,0.0,0.32976041666666667,0.7091666666666666,0.387633425930293,34.73,0.30056230232874237,False
110,0.2644192105159163,0.332187519967556,0.3229248519986868,0.033345005977898835,100,78.13,12.047950033096917,106.0,50.0,56.0,0.1542038913745926,41.0,13.717171717171718,81.6,74.66,6.939999999999998,0.08882631511583257,0.0,0.08138541666666667,0.9738333333333331,0.2962855886478617,1.79,0.39381531037140105,False
111,0.2644192105159163,0.030848278850317046,7.191888424195349,0.033345005977898835,100,221.19,18.53844383976174,269.0,176.0,93.0,0.08381230543768588,68.0,13.030303030303031,229.54,212.84,16.69999999999999,0.07550070075500696,0.0,0.23040624999999998,0.8936770833333331,0.3658064897440901,23.87,0.4853395395663678,False
